Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Aruba;ABW;CO2 emissions (kt);EN.ATM.CO2E.KT;179.683;447.374;612.389;649.059;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Africa Eastern and Southern;AFE;CO2 emissions (kt);EN.ATM.CO2E.KT;11.854.590.130.597;123.758.903.329.795;128.093.897.814.899;132.810.332.529.783;144.345.352.398.305;155.803.780.096.242;157.932.257.312.203;165.066.040.490.079;174.004.892.685.024;182.939.984.319.516;191.243.301.798.035;213.550.946.400.649;217.837.985.316.189;223.290.233.235.483;226.298.370.018.542;231.987.508.709.502;240.665.983.328.627;246.129.511.760.858;25.063.043.642.251;268.619.094.385.202;28.092.989.416.987;308.901.806.081.339;329.541.384.584.102;344.021.803.023.552;365.909.758.291.284;374.516.789.661.811;3.851.016.709.672;38.810.604.757.928;404.605.677.834.358;401.747.947.890.452;3.099.808.254.427;304.407.723.572.644;300.329.971.872.206;306.574.577.075.445;312.677.028.664.301;330.892.998.964.482;3.414.123.664.288;357.963.108.674.783;366.634.479.152.127;352.429.271.543.457;358.460.646.325.123;397.075.660.289.217;409.057.179.215.757;434.533.137.679.053;466.883.238.780.711;468.365.697.902.131;476.590.299.877.129;500.147.184.546.258;533.634.514.562.978;515.682.543.832.365;543.808.651.820.938;535.604.357.505.138;559.333.857.277.447;580.510.924.988.882;601.860.163.982.524;586.385.004.028.878;592.299.593.958.805;601.323.394.690.938;600.351.133.332.593;0;0
Afghanistan;AFG;CO2 emissions (kt);EN.ATM.CO2E.KT;414.371;491.378;689.396;707.731;839.743;1.008.425;1.092.766;1283.45;1.224.778;942.419;1.672.152;1.895.839;1.532.806;1.639.149;1.917.841;2126.86;1.987.514;2.390.884;2.159.863;2.240.537;1760.16;1.983.847;2.101.191;2.522.896;2.830.924;3.509.319;3.142.619;3.124.284;2.867.594;2.775.919;2.960;2.740;1.430;1.360;1.300;1.250;1.180;1.100;1.050;820;770;810;1.100;1.350;1.130;1.640;1.940;2.360;4.390;6.000;8.670;12.260;10.450;8.510;7.810;7.990;7.390;7.380;7.440;0;0
Africa Western and Central;AFW;CO2 emissions (kt);EN.ATM.CO2E.KT;8.760.463;9.376.519;9.710.216;11.540.049;13.985.938;19.827.469;21.246.598;21.239.264;16.527.169;23.743.825;36.398.642;48.301.724;58.059.611;69.676.667;84.392.338;69.995.696;76.900.657;74.154.074;75.045.155;98.319.604;98.913.658;96.889.474;98.755.977;91.337.636;101.154.195;104.344.485;99.977.088;89694.82;103.820.104;82.562.505;90.210;99.880;111.590;115.080;112.220;113.980;121.890;120.450;116.930;118.000;119.510;130.120;133.840;137.380;141.040;155.650;153.210;153.350;157.600;145.550;165.750;179.070;181.740;191.990;198.440;193.060;195.120;201.900;224.380;0;0
Angola;AGO;CO2 emissions (kt);EN.ATM.CO2E.KT;550.05;454.708;1.180.774;1.151.438;1.224.778;1.188.108;1.554.808;993.757;1.672.152;2786.92;3.582.659;3410.31;4.506.743;4.880.777;4.873.443;4.415.068;3.285.632;3.534.988;5.412.492;5.504.167;5.346.486;5280.48;4.649.756;5.115.465;5.009.122;4.701.094;4.660.757;5.815.862;5.130.133;5.009.122;6.330;6.530;6.370;6.900;6.690;10.780;11.410;11.730;11.370;12.650;12.370;12.910;13.620;18.010;19.290;18.210;20.340;23.490;25.080;27.150;28.530;29.460;30.250;32.820;34.630;35.160;35.410;30.840;27.340;0;0
Albania;ALB;CO2 emissions (kt);EN.ATM.CO2E.KT;2.024.184;2.280.874;2.464.224;2.082.856;2016.85;2.174.531;2.552.232;2.680.577;3.072.946;3.245.295;3.744.007;4.352.729;5.643.513;5.291.481;4.345.395;4.594.751;4950.45;5720.52;6.494.257;7.587.023;5170.47;7.341.334;7.308.331;7.631.027;7.825.378;7.880.383;8.056.399;7444.01;7.326.666;8984.15;6.050;4.110;2.240;2.070;2.140;1.950;1.970;1.480;1.800;2.970;3.170;3.220;3.750;4.110;4.290;4.070;4.050;4.220;4.170;4.320;4.580;5.040;4.580;4.790;5.220;5.070;4.930;5.600;5.560;0;0
Andorra;AND;CO2 emissions (kt);EN.ATM.CO2E.KT;410;410;410;410;410;430;450;470;490;510;520;520;530;530;560;580;550;540;540;520;520;490;490;480;460;470;470;470;460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;ARB;CO2 emissions (kt);EN.ATM.CO2E.KT;561.731.485.507.193;627.661.546.425.027;707.735.262.869.367;853.407.548.305.139;99.992.697.977.505;120.399.295.874.207;136.165.519.587.577;147.269.272.097.693;167.837.914.807.147;209.284.558.504.942;218.963.053.230.178;24.999.463.487.205;272.540.960.864.399;317.254.280.673.794;310.080.114.872.896;307.248.013.486.402;372.905.625.343.901;39.448.704.813.305;425.176.125.966.152;455.504.285.807.217;508.356.674.620.711;49.628.433.607.074;474.544.551.305.493;506.504.207.784.031;552.524.934.605.397;583.534.419.227.348;645.509.194.431.409;646.569.851.387.599;684.720.356.280.567;695.544.213.205.022;639.188.590.050.262;666.275.065.246.126;689.384.438.411.006;737.400.915.204.267;777.262.324.196.623;80.012.061.768.783;827.779.554.539.669;850.949.186.826.231;855.870.348.430.225;865.471.635.151.488;893.140.615.190.274;946.781.276.673.814;986.311.260.496.921;101.226.285.556.778;106.958.936.666.085;116.672.707.081.153;122.585.131.236.809;128.256.518.905.739;138.523.668.921.583;145.351.027.408.105;153.383.568.328.257;156.474.861.270.522;167.599.699.451.633;170.680.949.206.951;178.441.319.760.842;182.884.425.666.163;184.660.061.118.379;186.542.154.352.234;186.360.372.668.494;0;0
United Arab Emirates;ARE;CO2 emissions (kt);EN.ATM.CO2E.KT;11.001;11.001;18.335;22.002;18.335;22.002;25.669;916.75;1.243.113;20.524.199;15.247.386;21.184.259;23.454.132;30.630.451;31.327.181;31.070.491;39.651.271;38.785.859;44.814.407;36.607.661;36.904.688;36.857.017;36.871.685;35.342.546;46.394.884;49.926.205;47.234.627;47.693.002;48367.73;54.487.953;55.400;61.500;59.640;62.150;68.290;72.640;75.810;81.450;83.850;86.000;84.540;96.260;98.120;103.530;109.980;116.280;121.460;131.690;156.200;157.180;162.820;166.320;175.730;184.100;183.840;194.040;199.460;208.250;200.300;0;0
Argentina;ARG;CO2 emissions (kt);EN.ATM.CO2E.KT;48.815.104;51.180.319;53.695.881;50.083.886;55.727.399;58.866.351;63.138.406;65.543.958;69.082.613;77.329.696;82.734.854;88.939.418;90.156.862;94.065.884;95.569.354;94.931.296;99.786.404;100.791.162;102639.33;110.703.063;108.737.551;102.041.609;103.424.068;105.213.564;106.522.683;100.596.811;104.212.473;114.942.115;121.473.042;117.090.977;99.840;105.320;107.350;111.030;113.810;113.810;126.560;127.320;133.170;134.190;131.910;124.870;117.470;128.360;141.850;146.320;155.370;163.630;168.150;157.440;168.140;177.260;178.530;184.000;179.910;186.090;184.280;180.120;177.410;0;0
